codigo,codigo_pais,nombre_departamento
05,COL,ANTIOQUIA
08,COL,ATLÁNTICO
11,COL,"BOGOTÁ, D.C."
13,COL,BOLÍVAR
15,COL,BOYACÁ
17,COL,CALDAS
18,COL,CAQUETÁ
19,COL,CAUCA
20,COL,CESAR
23,COL,CÓRDOBA
25,COL,CUNDINAMARCA
27,COL,CHOCÓ
41,COL,HUILA
44,COL,LA GUAJIRA
47,COL,MAGDALENA
50,COL,META
52,COL,NARIÑO
54,COL,NORTE DE SANTANDER
63,COL,QUINDÍO
66,COL,RISARALDA
68,COL,SANTANDER
70,COL,SUCRE
73,COL,TOLIMA
76,COL,VALLE DEL CAUCA
81,COL,ARAUCA
85,COL,CASANARE
86,COL,PUTUMAYO
88,COL,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA"
91,COL,AMAZONAS
94,COL,GUAINÍA
95,COL,GUAVIARE
97,COL,VAUPÉS
99,COL,VICHADA
